IP:Port,Loss,Latency
188.114.98.235:854,0%,11.91
188.114.96.71:4500,0%,16.58
188.114.96.117:4500,0%,16.68
188.114.97.246:4500,0%,17.18
188.114.97.129:4500,0%,17.21
188.114.97.66:4500,0%,17.28
188.114.97.241:4500,0%,17.31
188.114.97.191:4500,0%,17.53
188.114.97.239:4500,0%,17.80
162.159.192.134:7281,0%,36.95
188.114.99.11:1701,0%,37.01
162.159.195.183:1014,0%,37.03
188.114.98.81:942,0%,37.03
162.159.192.127:2408,0%,37.04
188.114.99.22:8854,0%,37.05
162.159.192.177:1180,0%,37.07
162.159.195.60:2506,0%,37.09
162.159.195.57:987,0%,37.11
162.159.192.74:928,0%,37.12
188.114.98.77:880,0%,37.16
162.159.195.16:8742,0%,37.16
188.114.98.218:859,0%,37.17
188.114.99.45:8854,0%,37.19
188.114.99.18:854,0%,37.21
162.159.195.30:7281,0%,37.24
188.114.98.45:7103,0%,37.29
188.114.98.43:890,0%,37.31
162.159.192.248:1387,0%,37.32
188.114.98.230:4177,0%,37.35
188.114.99.54:988,0%,37.38
188.114.98.81:968,0%,37.39
188.114.98.15:8319,0%,37.42
188.114.98.84:8742,0%,37.44
188.114.98.162:3581,0%,37.47
188.114.98.177:2371,0%,37.48
162.159.195.208:945,0%,37.48
188.114.98.143:1701,0%,37.48
162.159.192.163:890,0%,37.51
162.159.195.147:5279,0%,37.55
162.159.195.148:908,0%,37.55
162.159.192.109:7103,0%,37.57
188.114.98.205:1387,0%,37.57
188.114.99.168:939,0%,37.58
188.114.99.198:1002,0%,37.59
188.114.98.133:878,0%,37.59
162.159.195.144:945,0%,37.65
188.114.98.195:1014,0%,37.65
188.114.98.178:7281,0%,37.68
188.114.98.214:946,0%,37.69
188.114.98.187:942,0%,37.69
188.114.98.191:880,0%,37.71
162.159.192.57:928,0%,37.71
162.159.195.181:946,0%,37.71
162.159.192.48:903,0%,37.71
188.114.99.57:1002,0%,37.72
188.114.99.226:988,0%,37.73
188.114.98.53:4233,0%,37.74
188.114.99.171:8742,0%,37.76
162.159.195.186:968,0%,37.77
162.159.192.82:8854,0%,37.78
162.159.192.37:1701,0%,37.83
188.114.98.12:1010,0%,37.84
162.159.192.37:903,0%,37.85
188.114.99.95:968,0%,37.85
188.114.99.78:3138,0%,37.87
162.159.195.103:3476,0%,37.89
188.114.98.72:7281,0%,37.90
188.114.98.93:5956,0%,37.91
188.114.98.164:854,0%,37.93
188.114.98.21:2371,0%,37.95
188.114.98.150:500,0%,37.98
162.159.195.81:1070,0%,37.99
188.114.99.153:8319,0%,37.99
188.114.99.3:4177,0%,37.99
162.159.192.51:2408,0%,38.00
162.159.195.39:1074,0%,38.01
162.159.192.202:968,0%,38.02
188.114.98.95:8854,0%,38.05
162.159.195.24:1074,0%,38.05
188.114.99.157:878,0%,38.05
162.159.195.43:3581,0%,38.05
188.114.99.153:2408,0%,38.06
188.114.99.162:1843,0%,38.06
162.159.192.65:4233,0%,38.06
162.159.192.219:878,0%,38.10
162.159.192.16:1010,0%,38.11
162.159.195.68:3581,0%,38.11
162.159.195.77:4233,0%,38.11
188.114.98.194:3476,0%,38.13
188.114.98.106:7559,0%,38.13
162.159.195.145:7156,0%,38.13
162.159.192.2:1387,0%,38.13
162.159.192.241:968,0%,38.14
188.114.99.186:7559,0%,38.16
162.159.192.108:7281,0%,38.18
162.159.192.48:2371,0%,38.19
188.114.98.156:934,0%,38.21
